poll_time,trip_id,route_id,stop_id,stop_sequence,arrival_delay,arrival_time,departure_delay,departure_time,schedule_relationship
2026-09-20T00:25:40.945626+00:00,1287266,081,2180,1,,,0,1789865280,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1287266,081,2181,2,0,1789865316,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1287266,081,2183,3,0,1789865369,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1287266,081,2184,4,0,1789865412,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1287266,081,2185,5,0,1789865503,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1287266,081,2186,6,0,1789865581,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1287266,081,2358,7,0,1789865700,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1287267,081,2359,8,0,1789863954,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1287267,081,2360,9,0,1789864003,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1287267,081,2361,10,0,1789864057,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1287267,081,2362,11,0,1789864103,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1287267,081,2363,12,0,1789864164,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1287267,081,2364,13,0,1789864241,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1287267,081,2365,14,0,1789864276,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1287267,081,2366,15,0,1789864302,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1287267,081,2367,16,0,1789864353,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1287267,081,5203,17,0,1789864440,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1287267,081,2368,18,0,1789864528,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1287267,081,2370,19,0,1789864661,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1287267,081,2371,20,0,1789864720,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1287267,081,2372,21,0,1789864758,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1287267,081,2373,22,0,1789864797,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1287267,081,2374,23,0,1789864850,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1287267,081,3130,24,0,1789865016,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1287267,081,3131,25,0,1789865100,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1287267,081,3132,26,0,1789865157,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1287267,081,3134,27,0,1789865345,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1287267,081,3135,28,0,1789865431,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1287267,081,3136,29,0,1789865494,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1287267,081,3137,30,0,1789865580,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1286054,051,668,1,,,0,1789864680,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1286054,051,221,2,0,1789864743,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1286054,051,222,3,0,1789864767,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1286054,051,223,4,0,1789864796,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1286054,051,225,5,0,1789864860,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1286054,051,226,6,0,1789864899,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1286054,051,108,7,0,1789864950,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1286054,051,123,8,0,1789865001,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1286054,051,125,9,0,1789865073,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1286054,051,126,10,0,1789865117,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1286054,051,127,11,0,1789865142,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1286054,051,128,12,0,1789865214,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1286054,051,227,13,0,1789865280,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1286054,051,229,14,0,1789865327,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1286054,051,231,15,0,1789865415,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1286054,051,232,16,0,1789865453,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1286054,051,233,17,0,1789865494,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1286054,051,234,18,0,1789865554,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1286054,051,235,19,0,1789865586,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1286054,051,236,20,0,1789865624,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1286054,051,1927,21,0,1789865700,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1285089,021,319,1,,,0,1789864380,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1285089,021,2770,2,0,1789864582,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1285089,021,2771,3,0,1789864668,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1285089,021,2772,4,0,1789864748,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1285089,021,2773,5,0,1789864800,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1285089,021,2774,6,0,1789864894,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1285089,021,2775,7,0,1789864928,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1285089,021,2776,8,0,1789864982,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1285089,021,2777,9,0,1789865054,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1285089,021,2778,10,0,1789865105,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1285089,021,2779,11,0,1789865137,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1285089,021,2780,12,0,1789865180,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1285089,021,2781,13,0,1789865220,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1285089,021,2782,14,0,1789865280,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1285089,021,2783,15,0,1789865329,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1285089,021,2784,16,0,1789865369,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1285089,021,3027,17,0,1789865407,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1285089,021,3028,18,0,1789865479,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1285089,021,2795,19,0,1789865661,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1285089,021,2796,20,0,1789865699,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1284431,011,2501,2,0,1789863984,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1284431,011,5353,3,0,1789864005,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1284431,011,3214,4,0,1789864061,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1284431,011,2276,5,0,1789864098,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1284431,011,8303,6,0,1789864138,,,SCHEDULED
2026-09-20T00:25:40.945626+00:00,1284431,011,8302,7,0,1789864179,,,SCHEDULED
